Name,Type,Location,Area,Height,Depth,Length
Aconcagua,Mountain,Argentina,,22834,,
Amazon,River,South America,,,,4000
Amur,River,Asia,,,,2700
Andaman,Sea,,218100,,3667,
Angel Falls,Waterfall,Venezuela,,3212,,
Annapurna,Mountain,Nepal,,26504,,
Aral Sea,Lake,Asia,25300,,222,
Ararat,Mountain,Turkey,,16804,,
Arctic,Ocean,,5105700,,17880,
Atlantic,Ocean,,33420000,,28374,
Baffin,Island,Arctic,183810,,,
Baltic,Sea,,146500,,180,
Baykal,Lake,Russia,11780,,5315,
Bering,Sea,,873000,,4893,
Black,Sea,,196100,,3906,
Borneo,Island,Pacific,280107,,,
Caribbean,Sea,,971400,,8448,
Caspian Sea,Lake,Europe - Asia,143550,,3360,
Chihuahuan,Desert,North America,140000,,,
Citlaltepec,Mountain,Mexico,,18700,,
Congo,River,Africa,,,,2718
Cook,Mountain,New Zealand,,12349,,
El'brus,Mountain,Russia,,18510,,
Everest,Mountain,Asia,,29028,,
Gobi,Desert,China,500000,,,
Great Bear,Lake,Canada,12275,,1356,
Great Sandy,Desert,Australia,150000,,,
Great Victoria,Desert,Australia,150000,,,
Greenland,Island,Atlantic,840000,,,
Gulf of Mexico,Sea,,582100,,5297,
Huang,River,China,,,,3000
Hudson Bay,Sea,,281900,,305,
Huron,Lake,North America,23000,,750,
Indian,Ocean,,28350500,,25344,
K2,Mountain,Kashmir,,28250,,
Kalahari,Desert,Africa,225000,,,
Kenya,Mountain,Kenya,,17058,,
Kilimanjaro,Mountain,Tanzania,,19340,,
Kosciusko,Mountain,Australia,,7310,,
Lena,River,Russia,,,,2680
Logan,Mountain,Canada,,19850,,
Mackenzie-Peace,River,Canada,,,,2635
Madagascar,Island,Indian,226657,,,
Matterhorn,Mountain,Switzerland,,14690,,
McKinley,Mountain,United States,,20320,,
Mediterranean,Sea,,969100,,4926,
Mekong,River,Asia,,,,2600
Michigan,Lake,North America,22400,,924,
Mississippi-Mis,River,North America,,,,3710
Mont Blanc,Mountain,Switzerland,,15771,,
New Guinea,Island,Pacific,305577,,,
Niagara Falls,Waterfall,North America,,193,,
Niger,River,Africa,,,,2600
Nile,River,Africa,,,,4145
North,Sea,,164900,,308,
Nyasa,Lake,Africa,11430,,2226,
Ob'-Irtysh,River,Russia,,,,3460
Pacific,Ocean,,64186300,,36198,
Pico Duarte,Mountain,Dominican Republic,,10417,,
Red,Sea,,174900,,1764,
Rub al Khali,Desert,Saudi Arabia,250000,,,
Sahara,Desert,Africa,3500000,,,
Sea of Japan,Sea,,391100,,5468,
Sea of Okhotsk,Sea,,537500,,3192,
South China,Sea,,1148500,,4802,
Sumatra,Island,Pacific,182860,,,
Superior,Lake,North America,31800,,1332,
Tanganyika,Lake,Africa,12700,,4650,
Tugela Falls,Waterfall,South Africa,,3110,,
Victoria,Lake,Africa,26828,,264,
Vinson Massif,Mountain,Antarctica,,16864,,
Wilhelm,Mountain,New Guinea,,14793,,
Yangtze,River,China,,,,3400
Yosemite,Waterfall,United States,,2425,,
