Name,Capital,Population,Area,Continent,Statehood
Alabama,Montgomery,4227437,52423,North America,-51152
Alaska,Juneau,604929,656400,North America,-363
Arizona,Phoenix,3974962,114000,North America,-17488
Arkansas,Little Rock,2447996,53200,North America,-45124
California,Sacramento,31518948,163700,North America,-39925
Colorado,Denver,3601298,104100,North America,-30467
Connecticut,Hartford,3309742,5500,North America,-62813
Delaware,Dover,707232,2500,North America,-62846
District of Columbia,Washington,612907,100,North America,-32455
Florida,Tallahassee,13814408,65800,North America,-41941
Georgia,Atlanta,6985572,59400,North America,-62820
Hawaii,Honolulu,1183198,10900,Oceania,-133
Idaho,Boise,1109980,83600,North America,-25383
Illinois,Springfield,11813091,57900,North America,-51528
Indiana,Indianapolis,5769553,36400,North America,-52250
Iowa,Des Moines,2841856,56300,North America,-41276
Kansas,Topeka,2555751,82300,North America,-36130
Kentucky,Frankfort,3826305,40400,North America,-61208
Louisiana,Baton Rouge,4338021,51800,North America,-53936
Maine,Augusta,1251669,35400,North America,-51060
Maryland,Annapolis,5014048,12400,North America,-62703
Massachusetts,Boston,6071816,10600,North America,-62785
Michigan,Lansing,9571318,96700,North America,-44899
Minnesota,St. Paul,4562117,86900,North America,-37124
Mississippi,Jackson,2668860,48400,North America,-51886
Missouri,Jefferson City,5285610,69700,North America,-50547
Montana,Helena,847709,147000,North America,-25620
Nebraska,Lincoln,1623109,77400,North America,-33908
Nevada,Carson City,1402649,110600,North America,-34759
New Hampshire,Concord,1136439,9400,North America,-62649
New Jersey,Trenton,7957196,8700,North America,-62835
New Mexico,Santa Fe,1632501,121600,North America,-17527
New York,Albany,18377334,54500,North America,-62614
North Carolina,Raleigh,7013950,53800,North America,-62131
North Dakota,Bismarck,641185,70700,North America,-25626
Ohio,Columbus,11200790,44800,North America,-57284
Oklahoma,Oklahoma City,3263489,69900,North America,-19039
Oregon,Salem,3061913,98400,North America,-36845
Pennsylvania,Harrisburg,12167566,46100,North America,-63144
Rhode Island,Providence,1009899,1500,North America,-61942
South Carolina,Columbia,3678759,32000,North America,-62678
South Dakota,Pierre,722481,77100,North America,-25626
Tennessee,Nashville,5149273,42100,North America,-59747
Texas,Austin,18209994,268600,North America,-41640
Utah,Salt Lake City,1878008,84900,North America,-23372
Vermont,Montpelier,581398,9600,North America,-61663
Virginia,Richmond,6554851,42800,North America,-62645
Washington,Olympia,5307322,71300,North America,-25617
West Virginia,Charleston,1838117,24200,North America,-35258
Wisconsin,Madison,5087770,65500,North America,-40758
Wyoming,Cheyenne,474855,97800,North America,-25376
