Country,City,Population,Area,Continent,UNDate
Afghanistan,Kabul,17070323,251825,Asia,1946
Albania,Tirane,3407400,11100,Europe,1955
Algeria,Algiers,28171132,919595,Africa,1962
Andorra,Andorra la Vella,64634,200,Europe,1993
Angola,Luanda,9901050,481300,Africa,1976
Antigua and Barbuda,St. John's,65644,171,Central America and Caribbean,1981
Argentina,Buenos Aires,34248705,1073518,South America,1945
Armenia,Yerevan,3556864,11500,Asia,1992
Australia,Canberra,18255944,2966200,Australia,1945
Austria,Vienna,8033746,32400,Europe,1955
Azerbaijan,Baku,7760064,33400,Asia,1992
Bahamas,Nassau,275703,5400,Central America and Caribbean,1973
Bahrain,Manama,591800,300,Asia,1971
Bangladesh,Dhaka,1.2639E8,57300,Asia,1974
Barbados,Bridgetown,258534,200,Central America and Caribbean,1966
Belarus,Minsk,10508000,80100,Europe,1945
Belgium,Brussels,10162614,11800,Europe,1945
Belize,Belmopan,211069,8900,Central America and Caribbean,1981
Benin,Porto Novo,5394881,43500,Africa,1960
Bermuda,Hamilton,60594,100,,
Bhutan,Thimphu,1756214,18100,Asia,1971
Bolivia,La Paz,7795410,424200,South America,1945
Bosnia and Herzegovina,Sarajevo,4697040,19700,Europe,1992
Botswana,Gaborone,1372453,224600,Africa,1966
Brazil,Brasilia,1.6031E8,3286500,South America,1945
Brunei,Bandar Seri Begawan,287822,2200,Asia,1984
Bulgaria,Sofia,8887111,42900,Europe,1955
Burkina Faso,Ouagodougou,10235326,105900,Africa,1960
Burundi,Bujumbura,6185632,10700,Africa,1962
Cambodia,Phnom Penh,10366614,70200,Asia,1955
Cameroon,Yaounde,13261994,183600,Africa,1960
Canada,Ottawa,28392302,3849674,North America,1945
Cape Verde,Praia,427188,1600,Africa,
Cayman Islands,Georgetown,23228,100,Central America and Caribbean,
Central African  Republic,Bangui,3173103,240300,Africa,1960
Chad,N'Djamena,5521118,495800,Africa,1960
Channel Islands,,146436,100,Europe,
Chile,Santiago,14089101,292100,South America,1945
China,Beijing,1.2022E9,3696100,Asia,1945
Colombia,Bogota,35930188,440800,South America,1945
Comoros,Moroni,535246,700,Africa,1975
Congo,Brazzaville,2471223,132000,Africa,1960
"Congo, Democratic Republic of",Kinshasa,43106529,905400,Africa,1960
Costa Rica,San Jose,3375083,19700,Central America and Caribbean,1945
Cote D'Ivoire,Yamoussoukro,14437516,124500,Africa,1960
Croatia,Zagreb,4744505,21800,Europe,1992
Cuba,Havana,11173523,42800,Central America and Caribbean,1945
Cyprus,Nicosia,737226,3600,Asia,1960
Czech Republic,Prague,10511029,30400,Europe,1993
Denmark,Copenhagen,5239356,16600,Europe,1945
Djibouti,Djibouti,417089,8900,Africa,1977
Dominica,Roseau,88871,300,Central America and Caribbean,1978
Dominican Republic,Santo Domingo,7903469,18700,Central America and Caribbean,1945
Ecuador,Quito,10782691,105000,South America,1945
Egypt,Cairo,59912259,385200,Africa,1945
El Salvador,San Salvador,5809949,8100,Central America and Caribbean,1945
England,London,49293170,50400,Europe,1945
Equatorial Guinea,Malabo,414059,10800,Africa,1968
Eritrea,Asmera,3231677,45300,Africa,1993
Estonia,Tallinn,1633006,17400,Europe,1991
Ethiopia,Addis Ababa,59291170,437800,Africa,1945
Fiji,Suva,771563,7100,Oceania,1970
Finland,Helsinki,5119178,130600,Europe,1955
France,Paris,58412558,210000,Europe,1945
French Guiana,Cayenne,102000,43700,South America,
Gabon,Libreville,1150275,103300,Africa,1960
Gambia (The),Banjul,968493,4100,Africa,1965
"Georgia, Republic of",Tbilisi,5737236,26900,Asia,1992
Germany,Berlin,81890690,137700,Europe,1973
Ghana,Accra,17395511,92100,Africa,1957
Gibraltar,Gibraltar,30297,100,Europe,
Greece,Athens,10669583,51000,Europe,1945
Grenada,St. George's,94931,100,Central America and Caribbean,1974
Guatemala,Guatemala City,10827127,42000,Central America and Caribbean,1945
Guinea,Conakry,6455275,94900,Africa,1958
Guinea-Bissau,Bissau,1108869,13900,Africa,1974
Guyana,Georgetown,736216,83000,South America,1966
Haiti,Port-au-Prince,6555255,10700,Central America and Caribbean,1945
Honduras,Tegucigalpa,5367613,43300,Central America and Caribbean,1945
Hong Kong,Victoria,5857414,400,Asia,
Hungary,Budapest,10421148,35900,Europe,1955
Iceland,Reykjavik,266614,36700,,1946
India,New Delhi,9.2901E8,1222600,Asia,1945
Indonesia,Jakarta,2.0239E8,741100,Asia,1950
Iran,Tehran,66261493,632500,Asia,1945
Iraq,Baghdad,20086891,168000,Asia,1945
Ireland,Dublin,3574032,27100,Europe,1955
Isle of Man,Douglas,70693,200,Europe,
Israel,Jerusalem,5101000,8000,Asia,1949
Italy,Rome,58713508,116300,Europe,1955
Jamaica,Kingston,2580291,4200,Central America and Caribbean,1962
Japan,Tokyo,1.2635E8,145900,Asia,1956
Jordan,Amman,4000210,34300,Asia,1955
Kalaallit Nunaat,Nuuk,57564,840000,,
Kazakhstan,Almaty,17438936,1049200,Asia,1992
Kenya,Nairobi,28520558,225000,Africa,1963
Kiribati,Tarawa,78772,300,Oceania,
"Korea, North",Pyongyang,23295340,47400,Asia,1991
"Korea, South",Seoul,45529277,38300,Asia,1991
Kuwait,Kuwait City,1837006,6900,Asia,1963
Kyrgyzstan,Bishkek,4744505,76600,Asia,1992
Laos,Vientiane,4748545,91400,Asia,1955
Latvia,Riga,2776212,24900,Europe,1991
Lebanon,Beirut,3655834,3900,Asia,1945
Leeward Islands,Plymouth,12119,100,Central America and Caribbean,
Lesotho,Maseru,1963244,11700,Africa,1966
Liberia,Monrovia,3002430,38200,Africa,1945
Libya,Tripoli,5107059,679400,Africa,1955
Liechtenstein,Vaduz,30297,100,Europe,1990
Lithuania,Vilnius,3886091,25200,Europe,1991
Luxembourg,Luxembourg,405980,100,Europe,1945
Macedonia,Skopje,2235917,9900,Europe,1993
Madagascar,Antananarivo,13560924,226700,Africa,1960
Malawi,Lilongwe,9828337,45700,Africa,1964
Malaysia,Kuala Lumpur,19473883,127600,Asia,1957
Maldives,Male,254495,100,Asia,1965
Mali,Bamako,9203210,482100,Africa,1960
Malta,Valletta,370633,100,Europe,1964
Marshall Islands,Majuro,54535,100,Oceania,1991
Mauritania,Nouakchott,2214709,398000,Africa,1961
Mauritius,Port Louis,1128057,1000,Africa,1968
Mexico,Mexico City,93114708,756100,North America,1945
Micronesia,Palikir,121188,300,Oceania,1991
Moldova,Chisinau,4517279,13000,Europe,1992
Monaco,Monaco,31307,100,Europe,1993
Mongolia,Ulaan Baatar,2454055,604800,Asia,1961
Montenegro,Titograd,626137,5300,Europe,
Morocco,Rabat,28841705,177100,Africa,1956
Mozambique,Maputo,17517708,313700,Africa,1975
Myanmar,Yangon,44715298,261200,Asia,1948
Namibia,Windhoek,1611798,318100,Africa,1990
Nauru,Yaren,10099,100,Oceania,
Nepal,Kathmandu,21250295,56800,Asia,1955
Netherlands,Amsterdam,15538306,16000,Europe,1945
Netherlands Antilles,Willemstad,185822,400,Central America and Caribbean,
New Zealand,Wellington,3422548,104500,Oceania,1945
Nicaragua,Managua,4137556,50900,Central America and Caribbean,1945
Niger,Niamey,8720477,497000,Africa,1960
Nigeria,Abuja,99062003,356700,Africa,1960
Northern Ireland,Belfast,1585541,5500,Europe,
Norway,Oslo,4357714,125100,Europe,1945
Oman,Muscat,1717838,118200,Asia,1971
Pakistan,Islamabad,1.2306E8,339700,Asia,1947
Panama,Panama City,2656034,29200,Central America and Caribbean,1945
Papua New Guinea,Port Moresby,4238546,178700,Asia,1975
Paraguay,Asuncion,5265614,157000,South America,1945
Peru,Lima,23885121,496200,South America,1945
Philippines,Manila,70500039,115900,Asia,1945
Poland,Warsaw,39037645,120700,Europe,1945
Portugal,Lisbon,10628177,35700,Europe,1955
Puerto Rico,San Juan,3556864,3492,Central America and Caribbean,
Qatar,Doha,518078,4400,Asia,1971
Romania,Bucharest,23410469,91700,Europe,1955
Russia,Moscow,1.5109E8,6592800,Europe,1945
Rwanda,Kigali,8456895,10200,Africa,1962
Saint Kitts and Nevis,Basseterre,41406,100,Central America and Caribbean,1983
Saint Lucia,Castries,146436,200,Central America and Caribbean,1979
Saint Vincent and the Grenadines,Kingstown,116138,200,Central America and Caribbean,1980
San Marino,San Marino,24238,100,Europe,1992
Sao Tome and Principe,Sao Tome,138356,400,Africa,1975
Saudi Arabia,Riyadh,18377132,865000,Asia,1945
Scotland,Edinburgh,5006069,30400,Europe,
Senegal,Dakar,8817428,76000,Africa,1960
Serbia,Belgrade,9755624,34100,Europe,
Seychelles,Victoria,72713,200,Africa,1976
Sierra Leone,Freetown,4675832,27200,Africa,1961
Singapore,Singapore,2887301,200,Asia,1965
Slovakia,Bratislava,5457495,18900,Europe,1993
Slovenia,Ljubljana,1991521,7800,Europe,1992
Solomon Islands,Honiara,389821,11000,Oceania,1978
Somalia,Mogadishu,6732996,246300,Africa,1960
South Africa,Cape Town,44365873,473300,Africa,1945
Spain,Madrid,39692061,194900,Europe,1955
Sri Lanka,Colombo,18211509,25300,Asia,1955
Sudan,Khartoum,29711229,966800,Africa,1956
Suriname,Paramaribo,427188,63300,South America,1975
Swaziland,Mbabane,945265,6700,Africa,1968
Sweden,Stockholm,8864893,173700,Europe,1946
Switzerland,Bern,7109689,15900,Europe,
Syria,Damascus,15034366,71500,Asia,1945
Taiwan,Taipei,21509839,14000,Asia,
Tajikistan,Dushanbe,6054344,55300,Asia,1992
Tanzania,Dar-es-Salaam,28263033,36400,Africa,1961
Thailand,Bangkok,60099089,198100,Asia,1946
Togo,Lome,4297120,21900,Africa,1960
Tonga,Nuku'alofa,106040,300,Oceania,
Trinidad and Tobago,Port of Spain,1341146,2000,Central America and Caribbean,1962
Tunisia,Tunis,8813388,63400,Africa,1956
Turkey,Ankara,62769263,300948,Europe,1945
Turkmenistan,Ashgabat,4034546,188400,Asia,1992
Turks and Caicos Islands,Grand Turk,12119,200,Central America and Caribbean,
Tuvalu,Funafuti,10099,100,Oceania,
Uganda,Kampala,20055584,93100,Africa,1962
Ukraine,Kiev,52360233,233100,Europe,1945
United Arab Emirates,Abu Dhabi,2818628,30000,Asia,1971
United States,Washington,2.6329E8,3787318,North America,1945
Uruguay,Montevideo,3230667,68000,South America,1945
Uzbekistan,Tashkent,22832806,172700,Asia,1992
Vanuatu,Vila,171683,4700,Oceania,1981
Vatican City,Vatican City,1010,2,Europe,
Venezuela,Caracas,20765543,352100,South America,1945
Vietnam,Hanoi,73827657,127200,Asia,1977
Wales,Cardiff,2825697,8000,Europe,
Western Samoa,Apia,206020,1100,Oceania,1976
Yemen,Sanaa,11214929,205300,Asia,1947
Yugoslavia,Belgrade,10866513,39400,Europe,1945
Zambia,Lusaka,9278952,290600,Africa,1964
Zimbabwe,Harare,11083641,150900,Africa,1980
